               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.025955,           0.0074328,                   0,             0.99209,                   1,               0.995,             0.83014,            0.016818,           0.0047516,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.025919,           0.0084238,                   0,             0.99211,                   1,               0.995,             0.79729,            0.019298,           0.0047626,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.024507,           0.0082094,                   0,             0.99205,                   1,               0.995,             0.79109,            0.016487,           0.0047125,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.024426,           0.0079984,                   0,             0.99196,                   1,               0.995,             0.79014,            0.019396,           0.0046899,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.023867,           0.0074794,                   0,             0.99204,                   1,               0.995,             0.78135,            0.016874,           0.0046094,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.023883,           0.0096703,                   0,             0.99209,                   1,               0.995,             0.81719,              0.0172,           0.0046313,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.021653,           0.0080385,                   0,             0.99193,                   1,               0.995,             0.78137,            0.017313,           0.0045801,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.024883,           0.0079391,                   0,             0.99196,                   1,               0.995,             0.79433,            0.016627,           0.0045312,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.021765,           0.0076216,                   0,             0.99211,                   1,               0.995,             0.79526,            0.016701,           0.0045013,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.023206,            0.008336,                   0,             0.99213,                   1,               0.995,             0.80383,             0.01692,           0.0044873,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.022502,           0.0088805,                   0,             0.99212,                   1,               0.995,             0.79737,            0.016371,           0.0044464,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.024038,           0.0066496,                   0,               0.992,                   1,               0.995,             0.79556,            0.016693,           0.0044446,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.021741,           0.0073878,                   0,             0.99193,                   1,               0.995,             0.82164,            0.016069,           0.0043805,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.019276,           0.0068551,                   0,             0.99198,                   1,               0.995,             0.81296,            0.016037,           0.0043677,                   0,            0.000892,            0.000892,            0.000892
                  94,              0.0215,           0.0080104,                   0,             0.99176,                   1,               0.995,             0.81295,            0.015764,           0.0043427,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.019327,           0.0068519,                   0,             0.99163,                   1,               0.995,             0.82163,            0.015624,           0.0043274,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.020861,           0.0065702,                   0,             0.99151,                   1,               0.995,             0.84447,            0.015027,           0.0043018,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018839,            0.007033,                   0,             0.99146,                   1,               0.995,             0.84327,            0.014657,           0.0042853,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.021108,           0.0073191,                   0,             0.99146,                   1,               0.995,             0.83494,            0.014936,           0.0042755,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.02037,           0.0068113,                   0,             0.99142,                   1,               0.995,             0.82328,            0.015005,           0.0042706,                   0,            0.000298,            0.000298,            0.000298
